epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.617,1.36448,2.76423,1.14581,0,0,0,0,1.6692,5.01627,1.11199,0.000467173,0.000467173,0.000467173
2,596.005,1.36243,1.95178,1.15804,0.26629,0.12961,0.15409,0.07625,1.91415,4.20512,1.18609,0.000934166,0.000934166,0.000934166
3,880.399,1.4216,1.84452,1.18166,0.3802,0.3607,0.41066,0.23334,1.65007,4.51793,1.08556,0.00139173,0.00139173,0.00139173
4,1156.07,1.43388,1.77755,1.19952,0.39051,0.36477,0.43143,0.22386,1.66356,3.43792,1.14374,0.00138656,0.00138656,0.00138656
5,1432.37,1.40801,1.69452,1.18525,0.95451,0.43182,0.47927,0.27843,1.63968,2.62677,1.07929,0.00137241,0.00137241,0.00137241
6,1718.56,1.39051,1.60001,1.1629,0.38805,0.40909,0.43099,0.22118,1.84495,2.64202,1.15685,0.00135826,0.00135826,0.00135826
7,1988.21,1.34692,1.53076,1.17172,0.49541,0.54304,0.5054,0.26691,1.81412,1.80434,1.12813,0.00134412,0.00134412,0.00134412
8,2263.08,1.38915,1.49678,1.17409,0.53968,0.59091,0.49884,0.28689,1.67912,2.39091,1.11254,0.00132997,0.00132997,0.00132997
9,2507.55,1.32075,1.39701,1.14487,0.43341,0.38636,0.45305,0.25854,1.7109,1.71073,1.08096,0.00131582,0.00131582,0.00131582
10,2751.73,1.30799,1.33978,1.14333,0.56363,0.53693,0.53419,0.29884,1.68332,1.56703,1.08011,0.00130168,0.00130168,0.00130168
11,2993.27,1.30339,1.29567,1.13024,0.48629,0.51136,0.50385,0.27628,1.55272,1.75055,1.05215,0.00128753,0.00128753,0.00128753
12,3233.09,1.30814,1.25384,1.14248,0.49222,0.54255,0.50588,0.28436,1.60269,1.85345,1.07217,0.00127338,0.00127338,0.00127338
13,3471.54,1.273,1.24311,1.12067,0.48763,0.48864,0.49354,0.28211,1.57333,1.68843,1.05855,0.00125923,0.00125923,0.00125923
14,3710.43,1.27282,1.29841,1.12209,0.4985,0.52273,0.50349,0.28087,1.65381,2.50601,1.08913,0.00124509,0.00124509,0.00124509
15,3951.84,1.25542,1.18321,1.12054,0.47669,0.47727,0.49894,0.2795,1.75846,1.37405,1.10548,0.00123094,0.00123094,0.00123094
16,4190.67,1.23725,1.16409,1.11854,0.48505,0.52273,0.50586,0.28349,1.65834,1.45773,1.08082,0.00121679,0.00121679,0.00121679
17,4430.57,1.24849,1.16133,1.11,0.52533,0.58799,0.50967,0.293,1.61711,1.8469,1.08175,0.00120265,0.00120265,0.00120265
18,4669.44,1.22276,1.13889,1.10184,0.49756,0.59091,0.51762,0.30636,1.59927,1.41304,1.07082,0.0011885,0.0011885,0.0011885
19,4908.22,1.19705,1.11866,1.10185,0.56164,0.52122,0.52199,0.30473,1.58959,1.52855,1.06505,0.00117435,0.00117435,0.00117435
20,5148.73,1.21712,1.14727,1.09942,0.57053,0.55988,0.52558,0.31022,1.59817,1.41049,1.07539,0.00116021,0.00116021,0.00116021
21,5390.59,1.21582,1.14551,1.0994,0.54199,0.58266,0.56224,0.2893,1.72245,1.8072,1.10016,0.00114606,0.00114606,0.00114606
22,5628.56,1.21315,1.17397,1.10129,0.99807,0.5,0.52041,0.29337,1.58071,1.12586,1.05073,0.00113191,0.00113191,0.00113191
23,5873.57,1.1955,1.09642,1.09295,0.60162,0.59091,0.55729,0.31511,1.62112,1.17497,1.06634,0.00111776,0.00111776,0.00111776
24,6121.19,1.19169,1.04937,1.08196,0.54425,0.52276,0.51805,0.30469,1.67019,1.31493,1.09857,0.00110362,0.00110362,0.00110362
