epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.802,0.96596,2.31772,1.16025,0.98694,0.15278,0.54331,0.41369,0.8735,3.02731,1.05714,0.000547118,0.000547118,0.000547118
2,431.538,0.98369,1.61386,1.15884,0.68217,0.60833,0.63974,0.46397,1.01034,2.01864,1.17943,0.00109187,0.00109187,0.00109187
3,623.812,1.03151,1.48811,1.18131,0.65082,0.58072,0.55489,0.38707,1.05821,2.10168,1.20185,0.00162561,0.00162561,0.00162561
4,790.681,1.01935,1.36671,1.17228,0.74373,0.65806,0.68857,0.50391,0.94898,1.69091,1.14399,0.00161749,0.00161749,0.00161749
5,947.015,0.97278,1.20493,1.15342,0.80137,0.65331,0.74354,0.53476,1.01173,1.4083,1.174,0.00160099,0.00160099,0.00160099
6,1102.21,0.97863,1.13033,1.14954,0.81594,0.78831,0.81449,0.59125,0.91337,1.07939,1.14003,0.00158448,0.00158448,0.00158448
7,1253.52,0.99217,1.11162,1.16501,0.78836,0.74095,0.76041,0.55503,0.91222,1.10571,1.10445,0.00156798,0.00156798,0.00156798
8,1404.73,0.93617,1.01034,1.12337,0.76824,0.79924,0.81769,0.6051,0.91699,1.04082,1.08664,0.00155148,0.00155148,0.00155148
9,1556.78,0.92794,1.00174,1.10361,0.78955,0.79595,0.79786,0.60261,0.81921,0.95953,1.04838,0.00153497,0.00153497,0.00153497
10,1707.38,0.87979,0.92114,1.09873,0.76779,0.79327,0.79764,0.60073,0.83353,0.91685,1.04361,0.00151847,0.00151847,0.00151847
11,1857.73,0.85977,0.8774,1.0797,0.88048,0.77289,0.85024,0.63055,0.84604,0.84276,1.06263,0.00150197,0.00150197,0.00150197
12,2008.28,0.87514,0.84912,1.0741,0.87033,0.76389,0.84707,0.65892,0.8214,0.72996,1.03874,0.00148546,0.00148546,0.00148546
13,2184.51,0.83032,0.80472,1.06166,0.91942,0.71763,0.83093,0.6472,0.80619,0.74474,1.03698,0.00146896,0.00146896,0.00146896
14,2539.17,0.81076,0.80065,1.05819,0.77015,0.84919,0.84115,0.66523,0.73481,0.7327,0.9908,0.00145246,0.00145246,0.00145246
15,2857.03,0.79965,0.77503,1.04851,0.8395,0.82366,0.83006,0.65984,0.77147,0.6868,1.00276,0.00143595,0.00143595,0.00143595
16,3206.77,0.81206,0.77411,1.05643,0.8255,0.79298,0.83525,0.67785,0.74598,0.67857,0.98603,0.00141945,0.00141945,0.00141945
17,3549.53,0.76001,0.72616,1.02734,0.86978,0.81439,0.87138,0.68567,0.7417,0.63425,0.9999,0.00140295,0.00140295,0.00140295
18,3776.94,0.78305,0.7123,1.04413,0.85171,0.81664,0.85971,0.68453,0.72438,0.63266,0.97854,0.00138644,0.00138644,0.00138644
19,4055.83,0.78824,0.73426,1.0316,0.85497,0.83359,0.86937,0.68978,0.76373,0.68583,1.00565,0.00136994,0.00136994,0.00136994
20,4299.56,0.79017,0.7354,1.03433,0.83685,0.82315,0.86349,0.68183,0.72552,0.68407,0.97378,0.00135344,0.00135344,0.00135344
21,4448.47,0.73742,0.68644,1.01257,0.8368,0.85444,0.87095,0.6981,0.74874,0.61629,0.98159,0.00133693,0.00133693,0.00133693
22,4598.33,0.76669,0.68787,1.02505,0.82311,0.86733,0.87094,0.69664,0.71489,0.60211,0.98335,0.00132043,0.00132043,0.00132043
23,4746.85,0.75224,0.66917,1.02257,0.84361,0.83792,0.87601,0.69981,0.70137,0.61062,0.97105,0.00130393,0.00130393,0.00130393
24,4895.18,0.74015,0.65474,1.00943,0.83484,0.82975,0.86484,0.69107,0.74335,0.65048,1.00295,0.00128742,0.00128742,0.00128742
25,5043.42,0.72199,0.64283,1.00841,0.90041,0.78183,0.87075,0.71026,0.69308,0.58475,0.96753,0.00127092,0.00127092,0.00127092
26,5197.88,0.74705,0.64068,1.01298,0.88371,0.82054,0.86007,0.6914,0.70372,0.61281,0.97822,0.00125442,0.00125442,0.00125442
27,5343.01,0.71371,0.61848,1.00083,0.88718,0.83758,0.8918,0.71533,0.71739,0.56753,0.9726,0.00123791,0.00123791,0.00123791
28,5488.34,0.71688,0.60693,1.00097,0.87794,0.83749,0.87923,0.69911,0.71609,0.57754,0.98724,0.00122141,0.00122141,0.00122141
29,5633.21,0.72059,0.60841,0.99925,0.88285,0.84183,0.88301,0.71886,0.69394,0.55051,0.95765,0.00120491,0.00120491,0.00120491
30,5778.04,0.7114,0.59875,1.00594,0.90621,0.82011,0.89024,0.72151,0.69969,0.54439,0.96162,0.0011884,0.0011884,0.0011884
31,5922.7,0.72198,0.62121,1.00758,0.84831,0.86319,0.87763,0.69675,0.72257,0.58426,0.98177,0.0011719,0.0011719,0.0011719
32,6067.67,0.71217,0.60829,1.00315,0.84128,0.8803,0.89212,0.72274,0.68421,0.57636,0.95649,0.0011554,0.0011554,0.0011554
33,6212.31,0.67654,0.59018,0.98152,0.86545,0.84279,0.87691,0.71312,0.68671,0.56621,0.96192,0.00113889,0.00113889,0.00113889
34,6357.2,0.6853,0.58792,0.98247,0.88113,0.87549,0.90212,0.7416,0.66019,0.52255,0.94745,0.00112239,0.00112239,0.00112239
35,6502.02,0.69753,0.56985,0.99051,0.85117,0.8866,0.88565,0.70636,0.6712,0.53606,0.94498,0.00110589,0.00110589,0.00110589
36,6646.68,0.68799,0.56697,0.99272,0.88175,0.84596,0.89152,0.71011,0.67252,0.51193,0.95261,0.00108938,0.00108938,0.00108938
37,6791.48,0.6786,0.57809,0.98177,0.85146,0.87435,0.89101,0.73309,0.65625,0.51113,0.9292,0.00107288,0.00107288,0.00107288
38,6936.33,0.67167,0.5637,0.97887,0.84986,0.91249,0.90652,0.74016,0.66152,0.50565,0.93998,0.00105638,0.00105638,0.00105638
39,7081.45,0.67634,0.56758,0.98399,0.87931,0.86234,0.89608,0.72567,0.67349,0.5144,0.95347,0.00103987,0.00103987,0.00103987
40,7226.39,0.65869,0.54566,0.97208,0.91382,0.84618,0.89925,0.73646,0.67415,0.52452,0.95338,0.00102337,0.00102337,0.00102337
41,7492.41,0.65082,0.53438,0.97507,0.88225,0.87265,0.89019,0.72859,0.67542,0.48927,0.9586,0.00100687,0.00100687,0.00100687
42,7876.55,0.63819,0.52596,0.96406,0.86636,0.85909,0.8942,0.73551,0.66202,0.55574,0.94487,0.000990365,0.000990365,0.000990365
43,8271.53,0.64426,0.52295,0.96499,0.88606,0.84437,0.8905,0.73185,0.66909,0.52061,0.94395,0.000973861,0.000973861,0.000973861
44,8625.35,0.63052,0.51467,0.95398,0.8702,0.8841,0.90483,0.74324,0.65639,0.508,0.9397,0.000957358,0.000957358,0.000957358
45,8991.69,0.61468,0.49912,0.95826,0.8757,0.88685,0.89803,0.7348,0.66747,0.51129,0.94744,0.000940855,0.000940855,0.000940855
46,9364.35,0.62098,0.50823,0.96636,0.90314,0.82082,0.88909,0.73559,0.65347,0.53226,0.94312,0.000924352,0.000924352,0.000924352
47,9736.02,0.62908,0.49404,0.96212,0.85019,0.87576,0.88291,0.7361,0.64336,0.56013,0.93705,0.000907848,0.000907848,0.000907848
48,10103.2,0.61655,0.49041,0.95361,0.8897,0.79116,0.87792,0.71955,0.65116,0.52162,0.92866,0.000891345,0.000891345,0.000891345
49,10478.6,0.61814,0.49922,0.96079,0.85244,0.90078,0.90715,0.76446,0.62969,0.49298,0.92512,0.000874842,0.000874842,0.000874842
50,10853,0.61252,0.48431,0.9435,0.90058,0.82612,0.8839,0.74159,0.6279,0.49621,0.92113,0.000858338,0.000858338,0.000858338
51,11227.4,0.61699,0.48401,0.95305,0.9031,0.86717,0.90871,0.7518,0.6212,0.47711,0.91486,0.000841835,0.000841835,0.000841835
52,11615.2,0.6037,0.47392,0.95188,0.87923,0.88667,0.9025,0.73349,0.6286,0.48468,0.93155,0.000825332,0.000825332,0.000825332
53,11992.1,0.58193,0.46197,0.95241,0.85699,0.88745,0.89657,0.7522,0.61463,0.47716,0.91798,0.000808828,0.000808828,0.000808828
54,12366.7,0.59127,0.46903,0.9489,0.88174,0.91097,0.9069,0.74856,0.6128,0.49043,0.90324,0.000792325,0.000792325,0.000792325
55,12632.2,0.59286,0.47103,0.9512,0.84056,0.90726,0.90715,0.74584,0.62615,0.4695,0.91603,0.000775822,0.000775822,0.000775822
56,12783.7,0.58521,0.45624,0.95132,0.90998,0.84505,0.90157,0.74828,0.62609,0.47866,0.92215,0.000759318,0.000759318,0.000759318
57,12929.8,0.57272,0.4417,0.94641,0.89072,0.88759,0.90835,0.75374,0.62407,0.45621,0.91983,0.000742815,0.000742815,0.000742815
58,13074.3,0.56649,0.44462,0.94083,0.88179,0.86524,0.89775,0.74276,0.63276,0.47224,0.92587,0.000726312,0.000726312,0.000726312
59,13218.6,0.56928,0.44477,0.941,0.87879,0.87707,0.89958,0.75044,0.61345,0.47133,0.92,0.000709809,0.000709809,0.000709809
60,13363.5,0.57703,0.43394,0.9409,0.87064,0.8892,0.8859,0.74113,0.61942,0.46409,0.92017,0.000693305,0.000693305,0.000693305
61,13507.5,0.5694,0.43286,0.93661,0.88378,0.89333,0.91165,0.75062,0.6115,0.45557,0.91473,0.000676802,0.000676802,0.000676802
62,13652.1,0.54643,0.42029,0.92647,0.92232,0.87916,0.90682,0.75465,0.62453,0.45149,0.92475,0.000660299,0.000660299,0.000660299
63,13796.2,0.56482,0.4318,0.94121,0.90404,0.88325,0.8982,0.75365,0.61395,0.45534,0.91509,0.000643795,0.000643795,0.000643795
64,13940.5,0.57734,0.43129,0.94025,0.90405,0.8766,0.90672,0.76569,0.5955,0.45078,0.91595,0.000627292,0.000627292,0.000627292
65,14084.8,0.54025,0.41752,0.9224,0.88914,0.87437,0.89901,0.75706,0.60594,0.46013,0.91129,0.000610789,0.000610789,0.000610789
66,14229.3,0.56308,0.41366,0.93818,0.8628,0.9228,0.89834,0.75478,0.60373,0.44785,0.90546,0.000594286,0.000594286,0.000594286
67,14373.4,0.53681,0.40254,0.92682,0.91282,0.89217,0.90013,0.7556,0.61827,0.45848,0.91514,0.000577782,0.000577782,0.000577782
68,14517.9,0.54534,0.40095,0.92893,0.88504,0.88806,0.90981,0.75455,0.60762,0.44932,0.91127,0.000561279,0.000561279,0.000561279
69,14662.2,0.5451,0.40343,0.93278,0.86998,0.90216,0.90014,0.75357,0.61219,0.46605,0.91596,0.000544776,0.000544776,0.000544776
70,14806.4,0.54098,0.40882,0.93144,0.89369,0.88396,0.90849,0.76367,0.60502,0.45155,0.91445,0.000528272,0.000528272,0.000528272
71,14950.5,0.54191,0.40943,0.92612,0.87439,0.92196,0.91514,0.76871,0.59307,0.44143,0.91123,0.000511769,0.000511769,0.000511769
72,15095,0.51875,0.38892,0.92254,0.90657,0.87972,0.91123,0.76026,0.61696,0.46819,0.91209,0.000495266,0.000495266,0.000495266
73,15239.3,0.52647,0.39084,0.92506,0.88867,0.88659,0.9046,0.76225,0.60167,0.44648,0.92116,0.000478762,0.000478762,0.000478762
74,15383.6,0.52371,0.39973,0.92469,0.908,0.89739,0.90507,0.76037,0.59955,0.43282,0.91205,0.000462259,0.000462259,0.000462259
75,15527.4,0.51116,0.38765,0.91698,0.8984,0.90692,0.9154,0.77249,0.60352,0.42365,0.91089,0.000445756,0.000445756,0.000445756
76,15671.8,0.52656,0.38184,0.92229,0.88252,0.90501,0.9145,0.77025,0.60064,0.42358,0.91127,0.000429253,0.000429253,0.000429253
77,15815.8,0.50735,0.37377,0.92002,0.92111,0.88489,0.91983,0.77761,0.59157,0.4086,0.90917,0.000412749,0.000412749,0.000412749
78,15960,0.52228,0.37221,0.91947,0.90726,0.9092,0.92906,0.7862,0.60894,0.41429,0.91391,0.000396246,0.000396246,0.000396246
